Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Neumann,0.9984865,0.69091797,1.4473498,0.4473498,1.4473498,30.908203,3.235387,0.03235387,3.2030332,0.2,0.8,125ms
Neumann,1.0022855,0.6989746,1.4306672,0.43066716,1.4306672,30.10254,3.3219788,0.03321979,3.288759,0.2,0.8,129ms
Neumann,1.0018897,0.6982422,1.4321679,0.4321679,1.4321679,30.175781,3.313916,0.033139158,3.2807767,0.2,0.8,124ms
Neumann,1.0008838,0.69628906,1.4361851,0.43618512,1.4361851,30.371094,3.2926044,0.032926045,3.2596784,0.2,0.8,128ms
Neumann,1.0064843,0.70581055,1.4168108,0.41681075,1.4168108,29.418945,3.3991702,0.033991702,3.3651783,0.2,0.8,122ms
Neumann,0.9995098,0.6933594,1.4422535,0.44225347,1.4422535,30.664062,3.2611465,0.032611463,3.2285352,0.2,0.8,129ms
Neumann,1.0316184,0.7319336,1.3662442,0.3662442,1.3662442,26.80664,3.730419,0.03730419,3.6931148,0.2,0.8,134ms
Neumann,0.99829495,0.6904297,1.4483734,0.44837344,1.4483734,30.957031,3.230284,0.032302838,3.197981,0.2,0.8,139ms
Neumann,0.9995098,0.6933594,1.4422535,0.44225347,1.4422535,30.664062,3.2611465,0.032611463,3.2285352,0.2,0.8,123ms
Neumann,1.00368,0.701416,1.4256874,0.42568743,1.4256874,29.858398,3.3491414,0.033491414,3.31565,0.2,0.8,125ms
Neumann,1.0053483,0.70410156,1.4202497,0.4202497,1.4202497,29.589844,3.379538,0.03379538,3.3457427,0.2,0.8,120ms
Neumann,1.0020205,0.6984863,1.4316672,0.4316672,1.4316672,30.151367,3.3165991,0.03316599,3.2834332,0.2,0.8,125ms
Neumann,0.99868244,0.69140625,1.4463277,0.4463277,1.4463277,30.859375,3.2405064,0.032405064,3.2081013,0.2,0.8,128ms
Neumann,1.0093027,0.7097168,1.4090127,0.40901268,1.4090127,29.02832,3.4449117,0.034449115,3.4104626,0.2,0.8,130ms
Neumann,1.0029683,0.7001953,1.428173,0.42817295,1.428173,29.980469,3.3355048,0.03335505,3.3021498,0.2,0.8,126ms
Neumann,0.9955777,0.6816406,1.4670488,0.46704876,1.4670488,31.835938,3.1411042,0.031411044,3.1096933,0.2,0.8,126ms
Neumann,0.99626285,0.6843262,1.4612914,0.46129143,1.4612914,31.567383,3.1678267,0.031678267,3.1361485,0.2,0.8,126ms
Neumann,1.0021524,0.69873047,1.431167,0.431167,1.431167,30.126953,3.3192868,0.03319287,3.286094,0.2,0.8,128ms
Neumann,0.9958123,0.6826172,1.46495,0.46494997,1.46495,31.738281,3.1507692,0.031507693,3.1192615,0.2,0.8,959ms
Neumann,1.0022855,0.6989746,1.4306672,0.43066716,1.4306672,30.10254,3.3219788,0.03321979,3.288759,0.2,0.8,122ms
Neumann,0.998782,0.6916504,1.4458171,0.4458171,1.4458171,30.83496,3.243072,0.03243072,3.2106414,0.2,0.8,126ms
Neumann,1.0064843,0.70581055,1.4168108,0.41681075,1.4168108,29.418945,3.3991702,0.033991702,3.3651783,0.2,0.8,125ms
Neumann,1.0307006,0.7312012,1.3676127,0.36761272,1.3676127,26.879883,3.7202544,0.037202545,3.6830518,0.2,0.8,135ms
Neumann,1.0071598,0.7067871,1.4148532,0.41485322,1.4148532,29.32129,3.4104912,0.034104913,3.3763864,0.2,0.8,123ms
Neumann,0.9946506,0.6767578,1.4776335,0.47763348,1.4776335,32.32422,3.0936556,0.030936556,3.062719,0.2,0.8,129ms
Neumann,1.0429645,0.7402344,1.3509235,0.35092354,1.3509235,25.976562,3.8496242,0.03849624,3.811128,0.2,0.8,126ms
Neumann,0.99647176,0.6850586,1.4597292,0.4597292,1.4597292,31.49414,3.1751938,0.03175194,3.143442,0.2,0.8,193ms
Neumann,0.99908733,0.6923828,1.4442878,0.44428778,1.4442878,30.761719,3.2507937,0.032507937,3.2182858,0.2,0.8,120ms
Neumann,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,128ms
Neumann,1.0179863,0.71972656,1.3894166,0.38941658,1.3894166,28.027344,3.5679443,0.03567944,3.532265,0.2,0.8,119ms
Neumann,1.0104405,0.71118164,1.4061105,0.40611053,1.4061105,28.881836,3.4623837,0.03462384,3.42776,0.2,0.8,127ms
Neumann,0.9959359,0.68310547,1.4639028,0.46390283,1.4639028,31.689453,3.1556242,0.03155624,3.124068,0.2,0.8,123ms
Neumann,1.0073318,0.70703125,1.4143647,0.4143647,1.4143647,29.296875,3.4133334,0.034133334,3.3792,0.2,0.8,121ms
Neumann,0.9972364,0.6875,1.4545455,0.4545455,1.4545455,31.25,3.2,0.032,3.168,0.2,0.8,122ms
Neumann,1.0064843,0.70581055,1.4168108,0.41681075,1.4168108,29.418945,3.3991702,0.033991702,3.3651783,0.2,0.8,123ms
Neumann,1.0050343,0.7036133,1.4212352,0.4212352,1.4212352,29.638672,3.3739703,0.033739705,3.3402305,0.2,0.8,122ms
Neumann,1.0292001,0.72998047,1.3698996,0.36989963,1.3698996,27.001953,3.703436,0.03703436,3.6664016,0.2,0.8,130ms
Neumann,0.99633145,0.6845703,1.4607704,0.46077037,1.4607704,31.542969,3.1702785,0.031702787,3.1385758,0.2,0.8,124ms
Neumann,1.0152211,0.7167969,1.3950953,0.39509535,1.3950953,28.320312,3.5310345,0.035310347,3.4957242,0.2,0.8,129ms
Neumann,1.0085689,0.70874023,1.4109542,0.41095424,1.4109542,29.125977,3.4333613,0.034333613,3.3990276,0.2,0.8,120ms
Neumann,1.0026917,0.69970703,1.4291695,0.42916954,1.4291695,30.029297,3.3300812,0.033300813,3.2967803,0.2,0.8,122ms
Neumann,1.0189502,0.7207031,1.3875339,0.3875339,1.3875339,27.929688,3.5804195,0.035804197,3.5446153,0.2,0.8,122ms
Neumann,1.0194402,0.7211914,1.3865944,0.3865944,1.3865944,27.88086,3.58669,0.0358669,3.550823,0.2,0.8,128ms
Neumann,1.0068197,0.7062988,1.4158313,0.41583133,1.4158313,29.370117,3.4048214,0.034048215,3.370773,0.2,0.8,811ms
Neumann,0.9992963,0.6928711,1.4432698,0.44326985,1.4432698,30.71289,3.255962,0.03255962,3.2234023,0.2,0.8,123ms
Neumann,0.99552155,0.6813965,1.4675744,0.46757436,1.4675744,31.860352,3.1386974,0.03138697,3.1073103,0.2,0.8,120ms
Neumann,1.005507,0.7043457,1.4197574,0.41975737,1.4197574,29.56543,3.3823287,0.033823285,3.3485055,0.2,0.8,122ms
Neumann,1.0071598,0.7067871,1.4148532,0.41485322,1.4148532,29.32129,3.4104912,0.034104913,3.3763864,0.2,0.8,120ms
Neumann,0.9948442,0.6779785,1.474973,0.47497296,1.474973,32.20215,3.105383,0.031053828,3.0743291,0.2,0.8,127ms
Neumann,1.013909,0.71533203,1.3979522,0.3979522,1.3979522,28.466797,3.5128646,0.035128646,3.477736,0.2,0.8,125ms
Neumann,0.9977462,0.68896484,1.4514529,0.45145285,1.4514529,31.103516,3.2150707,0.03215071,3.18292,0.2,0.8,122ms
Neumann,0.9977462,0.68896484,1.4514529,0.45145285,1.4514529,31.103516,3.2150707,0.03215071,3.18292,0.2,0.8,122ms
Neumann,1.0069891,0.70654297,1.4153421,0.4153421,1.4153421,29.345703,3.4076538,0.034076538,3.3735774,0.2,0.8,123ms
Neumann,1.012643,0.7138672,1.4008209,0.40082085,1.4008209,28.613281,3.4948804,0.034948807,3.4599316,0.2,0.8,120ms
Neumann,1.0328627,0.73291016,1.3644238,0.36442375,1.3644238,26.708984,3.7440586,0.037440587,3.706618,0.2,0.8,120ms
Neumann,1.0044208,0.7026367,1.4232106,0.42321062,1.4232106,29.736328,3.36289,0.0336289,3.329261,0.2,0.8,121ms
Neumann,1.011026,0.71191406,1.4046639,0.40466392,1.4046639,28.808594,3.4711864,0.034711864,3.4364746,0.2,0.8,122ms
Neumann,1.0006437,0.6958008,1.437193,0.43719304,1.437193,30.419922,3.2873194,0.032873195,3.2544463,0.2,0.8,121ms
Neumann,1.0251896,0.7265625,1.3763441,0.37634408,1.3763441,27.34375,3.6571429,0.03657143,3.6205714,0.2,0.8,119ms
Neumann,1.0104405,0.71118164,1.4061105,0.40611053,1.4061105,28.881836,3.4623837,0.03462384,3.42776,0.2,0.8,124ms
Neumann,1.0053483,0.70410156,1.4202497,0.4202497,1.4202497,29.589844,3.379538,0.03379538,3.3457427,0.2,0.8,128ms
Neumann,1.0158948,0.7175293,1.3936713,0.39367127,1.3936713,28.24707,3.5401902,0.035401903,3.5047884,0.2,0.8,125ms
Neumann,1.0172772,0.71899414,1.390832,0.39083195,1.390832,28.100586,3.5586448,0.035586447,3.5230584,0.2,0.8,121ms
Neumann,1.001504,0.69750977,1.4336717,0.4336717,1.4336717,30.249023,3.3058918,0.03305892,3.2728329,0.2,0.8,118ms
Neumann,1.0118245,0.7128906,1.4027398,0.40273976,1.4027398,28.710938,3.4829931,0.034829933,3.4481633,0.2,0.8,122ms
Neumann,1.00368,0.701416,1.4256874,0.42568743,1.4256874,29.858398,3.3491414,0.033491414,3.31565,0.2,0.8,141ms
Neumann,1.0122312,0.7133789,1.4017797,0.40177965,1.4017797,28.66211,3.4889266,0.034889266,3.4540374,0.2,0.8,126ms
Neumann,1.0271599,0.7282715,1.3731143,0.37311435,1.3731143,27.172852,3.6801438,0.03680144,3.6433425,0.2,0.8,204ms
Neumann,0.993995,0.6669922,1.4992679,0.49926794,1.4992679,33.30078,3.0029325,0.030029325,2.9729033,0.2,0.8,671ms
Neumann,1.0132704,0.7145996,1.3993851,0.3993851,1.3993851,28.54004,3.5038495,0.035038494,3.468811,0.2,0.8,126ms
Neumann,1.0094893,0.70996094,1.4085282,0.4085282,1.4085282,29.003906,3.4478114,0.034478113,3.4133332,0.2,0.8,120ms
Neumann,1.0051907,0.7038574,1.4207423,0.42074227,1.4207423,29.614258,3.376752,0.033767518,3.3429844,0.2,0.8,126ms
Neumann,0.9946149,0.6765137,1.4781667,0.4781667,1.4781667,32.348633,3.0913208,0.030913208,3.0604076,0.2,0.8,130ms
Neumann,1.022757,0.72436523,1.380519,0.38051903,1.380519,27.563477,3.6279893,0.036279894,3.5917094,0.2,0.8,117ms
Neumann,1.0042702,0.7023926,1.4237052,0.42370522,1.4237052,29.760742,3.3601313,0.033601314,3.32653,0.2,0.8,126ms
Neumann,1.0240946,0.72558594,1.3781965,0.37819648,1.3781965,27.441406,3.644128,0.03644128,3.6076868,0.2,0.8,128ms
Neumann,1.0089333,0.7092285,1.4099828,0.4099828,1.4099828,29.077148,3.4391267,0.03439127,3.4047356,0.2,0.8,129ms
Neumann,0.99868244,0.69140625,1.4463277,0.4463277,1.4463277,30.859375,3.2405064,0.032405064,3.2081013,0.2,0.8,120ms
Neumann,0.99535954,0.68066406,1.4691535,0.46915352,1.4691535,31.933594,3.1314986,0.031314984,3.1001835,0.2,0.8,122ms
Neumann,0.9977462,0.68896484,1.4514529,0.45145285,1.4514529,31.103516,3.2150707,0.03215071,3.18292,0.2,0.8,123ms
Neumann,1.0177486,0.7194824,1.389888,0.38988805,1.389888,28.051758,3.564839,0.03564839,3.5291905,0.2,0.8,125ms
Neumann,1.0429645,0.7402344,1.3509235,0.35092354,1.3509235,25.976562,3.8496242,0.03849624,3.811128,0.2,0.8,122ms
Neumann,1.0128508,0.7141113,1.4003419,0.40034187,1.4003419,28.588867,3.497865,0.03497865,3.4628863,0.2,0.8,123ms
Neumann,1.0028296,0.6999512,1.4286711,0.42867112,1.4286711,30.004883,3.3327909,0.033327907,3.299463,0.2,0.8,122ms
Neumann,1.030096,0.7307129,1.3685266,0.36852658,1.3685266,26.92871,3.7135086,0.037135087,3.6763735,0.2,0.8,123ms
Neumann,0.99402714,0.6699219,1.4927114,0.49271142,1.4927114,33.007812,3.0295858,0.030295858,2.99929,0.2,0.8,120ms
Neumann,1.0100563,0.71069336,1.4070766,0.4070766,1.4070766,28.930664,3.45654,0.0345654,3.4219747,0.2,0.8,121ms
Neumann,1.0024198,0.69921875,1.4301676,0.43016756,1.4301676,30.078125,3.3246753,0.033246752,3.2914286,0.2,0.8,122ms
Neumann,1.0025553,0.6994629,1.4296684,0.42966843,1.4296684,30.05371,3.3273761,0.03327376,3.2941024,0.2,0.8,133ms
Neumann,1.0068197,0.7062988,1.4158313,0.41583133,1.4158313,29.370117,3.4048214,0.034048215,3.370773,0.2,0.8,132ms
Neumann,1.0094893,0.70996094,1.4085282,0.4085282,1.4085282,29.003906,3.4478114,0.034478113,3.4133332,0.2,0.8,122ms
Neumann,0.99898446,0.6921387,1.4447972,0.44479716,1.4447972,30.786133,3.2482157,0.03248216,3.2157335,0.2,0.8,129ms
Neumann,0.99801576,0.68969727,1.4499115,0.44991148,1.4499115,31.030273,3.2226593,0.032226592,3.1904328,0.2,0.8,128ms
Neumann,1.005828,0.704834,1.4187738,0.41877377,1.4187738,29.516602,3.387924,0.03387924,3.3540447,0.2,0.8,903ms
Neumann,1.0380788,0.7368164,1.3571903,0.35719025,1.3571903,26.31836,3.799629,0.03799629,3.7616327,0.2,0.8,128ms
Neumann,1.0104405,0.71118164,1.4061105,0.40611053,1.4061105,28.881836,3.4623837,0.03462384,3.42776,0.2,0.8,123ms
Neumann,1.0051907,0.7038574,1.4207423,0.42074227,1.4207423,29.614258,3.376752,0.033767518,3.3429844,0.2,0.8,124ms
Neumann,0.9958123,0.6826172,1.46495,0.46494997,1.46495,31.738281,3.1507692,0.031507693,3.1192615,0.2,0.8,124ms
Neumann,1.0165801,0.7182617,1.3922502,0.39225018,1.3922502,28.173828,3.5493934,0.035493933,3.5138996,0.2,0.8,127ms
Neumann,1.009866,0.7104492,1.4075601,0.4075601,1.4075601,28.955078,3.4536257,0.034536257,3.4190893,0.2,0.8,185ms
Neumann,0.9985839,0.6911621,1.4468386,0.44683862,1.4468386,30.88379,3.2379446,0.03237945,3.2055652,0.2,0.8,122ms
Neumann,1.011623,0.7126465,1.4032203,0.4032203,1.4032203,28.735352,3.4800339,0.03480034,3.4452336,0.2,0.8,125ms
Neumann,1.0064843,0.70581055,1.4168108,0.41681075,1.4168108,29.418945,3.3991702,0.033991702,3.3651783,0.2,0.8,132ms
Neumann,1.0061538,0.70532227,1.4177916,0.4177916,1.4177916,29.467773,3.3935378,0.033935376,3.3596025,0.2,0.8,120ms
Neumann,1.0147786,0.7163086,1.3960464,0.3960464,1.3960464,28.36914,3.524957,0.03524957,3.4897075,0.2,0.8,117ms
Neumann,1.0149993,0.71655273,1.3955708,0.39557076,1.3955708,28.344727,3.5279932,0.03527993,3.4927132,0.2,0.8,123ms
Neumann,1.0001767,0.6948242,1.4392129,0.43921292,1.4392129,30.517578,3.2768,0.032768,3.244032,0.2,0.8,127ms
Neumann,1.0035354,0.7011719,1.4261838,0.42618382,1.4261838,29.882812,3.3464053,0.03346405,3.3129413,0.2,0.8,118ms
Neumann,1.0158948,0.7175293,1.3936713,0.39367127,1.3936713,28.24707,3.5401902,0.035401903,3.5047884,0.2,0.8,123ms
Neumann,1.0165801,0.7182617,1.3922502,0.39225018,1.3922502,28.173828,3.5493934,0.035493933,3.5138996,0.2,0.8,124ms
Neumann,1.0136948,0.7150879,1.3984295,0.3984295,1.3984295,28.49121,3.5098543,0.03509854,3.4747558,0.2,0.8,124ms
Neumann,1.0051907,0.7038574,1.4207423,0.42074227,1.4207423,29.614258,3.376752,0.033767518,3.3429844,0.2,0.8,119ms
Neumann,1.0141244,0.7155762,1.3974752,0.39747524,1.3974752,28.442383,3.5158799,0.035158798,3.480721,0.2,0.8,122ms
Neumann,1.0130599,0.71435547,1.3998632,0.39986324,1.3998632,28.564453,3.5008547,0.035008546,3.4658463,0.2,0.8,252ms
Neumann,0.99416083,0.6723633,1.4872912,0.48729122,1.4872912,32.76367,3.052161,0.030521609,3.0216393,0.2,0.8,124ms
Neumann,1.0069891,0.70654297,1.4153421,0.4153421,1.4153421,29.345703,3.4076538,0.034076538,3.3735774,0.2,0.8,122ms
Neumann,1.038758,0.7373047,1.3562914,0.3562914,1.3562914,26.269531,3.8066914,0.038066916,3.7686245,0.2,0.8,127ms
Neumann,1.0075048,0.7072754,1.4138764,0.4138764,1.4138764,29.27246,3.4161801,0.034161802,3.3820183,0.2,0.8,126ms
Neumann,1.0061538,0.70532227,1.4177916,0.4177916,1.4177916,29.467773,3.3935378,0.033935376,3.3596025,0.2,0.8,810ms
Neumann,1.005828,0.704834,1.4187738,0.41877377,1.4187738,29.516602,3.387924,0.03387924,3.3540447,0.2,0.8,127ms
Neumann,1.0035354,0.7011719,1.4261838,0.42618382,1.4261838,29.882812,3.3464053,0.03346405,3.3129413,0.2,0.8,123ms
Neumann,0.99626285,0.6843262,1.4612914,0.46129143,1.4612914,31.567383,3.1678267,0.031678267,3.1361485,0.2,0.8,122ms
Neumann,0.9983902,0.6906738,1.4478614,0.44786143,1.4478614,30.932617,3.2328334,0.032328334,3.200505,0.2,0.8,120ms
Neumann,1.0118245,0.7128906,1.4027398,0.40273976,1.4027398,28.710938,3.4829931,0.034829933,3.4481633,0.2,0.8,119ms
Neumann,1.0219712,0.7236328,1.3819163,0.38191628,1.3819163,27.636719,3.6183746,0.036183745,3.5821908,0.2,0.8,120ms
Neumann,0.9955777,0.6816406,1.4670488,0.46704876,1.4670488,31.835938,3.1411042,0.031411044,3.1096933,0.2,0.8,120ms
Neumann,1.0182252,0.7199707,1.3889455,0.38894546,1.3889455,28.00293,3.571055,0.03571055,3.5353444,0.2,0.8,124ms
Neumann,1.0163504,0.7180176,1.3927236,0.39272356,1.3927236,28.198242,3.5463204,0.035463203,3.5108573,0.2,0.8,126ms
Neumann,1.000408,0.6953125,1.4382023,0.43820226,1.4382023,30.46875,3.2820513,0.03282051,3.2492309,0.2,0.8,124ms
Neumann,1.0020205,0.6984863,1.4316672,0.4316672,1.4316672,30.151367,3.3165991,0.03316599,3.2834332,0.2,0.8,122ms
Neumann,1.0075048,0.7072754,1.4138764,0.4138764,1.4138764,29.27246,3.4161801,0.034161802,3.3820183,0.2,0.8,121ms
Neumann,1.0249137,0.72631836,1.3768067,0.37680674,1.3768067,27.368164,3.6538804,0.036538806,3.6173415,0.2,0.8,119ms
Neumann,1.0136948,0.7150879,1.3984295,0.3984295,1.3984295,28.49121,3.5098543,0.03509854,3.4747558,0.2,0.8,139ms
Neumann,1.0029683,0.7001953,1.428173,0.42817295,1.428173,29.980469,3.3355048,0.03335505,3.3021498,0.2,0.8,127ms
Neumann,1.0042702,0.7023926,1.4237052,0.42370522,1.4237052,29.760742,3.3601313,0.033601314,3.32653,0.2,0.8,125ms
