Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Diagonal,1.0012525,0.6970215,1.434676,0.43467605,1.434676,30.297852,3.300564,0.03300564,3.2675583,0.2,0.8,439ms
Diagonal,1.0132704,0.7145996,1.3993851,0.3993851,1.3993851,28.54004,3.5038495,0.035038494,3.468811,0.2,0.8,421ms
Diagonal,0.9941431,0.67211914,1.4878315,0.48783147,1.4878315,32.788086,3.0498884,0.030498883,3.0193894,0.2,0.8,445ms
Diagonal,1.0091174,0.70947266,1.4094976,0.40949762,1.4094976,29.052734,3.4420168,0.03442017,3.4075966,0.2,0.8,501ms
Diagonal,0.9941431,0.67211914,1.4878315,0.48783147,1.4878315,32.788086,3.0498884,0.030498883,3.0193894,0.2,0.8,527ms
Diagonal,0.9943131,0.67407227,1.4835205,0.4835205,1.4835205,32.592773,3.0681648,0.030681647,3.0374832,0.2,0.8,467ms
Diagonal,0.9941263,0.671875,1.4883721,0.4883721,1.4883721,32.8125,3.047619,0.03047619,3.017143,0.2,0.8,418ms
Diagonal,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,417ms
Diagonal,0.9969958,0.6867676,1.4560966,0.45609665,1.4560966,31.323242,3.1925175,0.031925175,3.1605923,0.2,0.8,424ms
Diagonal,0.99647176,0.6850586,1.4597292,0.4597292,1.4597292,31.49414,3.1751938,0.03175194,3.143442,0.2,0.8,475ms
Diagonal,0.9994025,0.69311523,1.4427615,0.44276154,1.4427615,30.688477,3.258552,0.03258552,3.2259665,0.2,0.8,427ms
Diagonal,0.9992963,0.6928711,1.4432698,0.44326985,1.4432698,30.71289,3.255962,0.03255962,3.2234023,0.2,0.8,422ms
Diagonal,1.0001767,0.6948242,1.4392129,0.43921292,1.4392129,30.517578,3.2768,0.032768,3.244032,0.2,0.8,429ms
Diagonal,1.0112238,0.7121582,1.4041824,0.40418243,1.4041824,28.78418,3.4741306,0.034741305,3.4393892,0.2,0.8,411ms
Diagonal,1.0026917,0.69970703,1.4291695,0.42916954,1.4291695,30.029297,3.3300812,0.033300813,3.2967803,0.2,0.8,412ms
Diagonal,0.9979248,0.6894531,1.4504249,0.4504249,1.4504249,31.054688,3.2201257,0.032201257,3.1879244,0.2,0.8,405ms
Diagonal,1.0161219,0.71777344,1.3931973,0.3931973,1.3931973,28.222656,3.5432527,0.035432525,3.5078201,0.2,0.8,432ms
Diagonal,0.99654335,0.68530273,1.4592091,0.45920908,1.4592091,31.469727,3.1776571,0.03177657,3.1458805,0.2,0.8,398ms
Diagonal,0.99400604,0.66918945,1.4943452,0.4943452,1.4943452,33.081055,3.0228782,0.030228782,2.9926493,0.2,0.8,429ms
Diagonal,0.99424183,0.67333984,1.4851341,0.48513412,1.4851341,32.666016,3.0612855,0.030612854,3.0306726,0.2,0.8,428ms
Diagonal,0.9972364,0.6875,1.4545455,0.4545455,1.4545455,31.25,3.2,0.032,3.168,0.2,0.8,444ms
Diagonal,1.0093027,0.7097168,1.4090127,0.40901268,1.4090127,29.02832,3.4449117,0.034449115,3.4104626,0.2,0.8,461ms
Diagonal,1.0031084,0.70043945,1.4276751,0.42767513,1.4276751,29.956055,3.3382232,0.033382233,3.304841,0.2,0.8,442ms
Diagonal,0.9969177,0.68652344,1.4566145,0.4566145,1.4566145,31.347656,3.190031,0.031900313,3.1581306,0.2,0.8,419ms
Diagonal,1.0073318,0.70703125,1.4143647,0.4143647,1.4143647,29.296875,3.4133334,0.034133334,3.3792,0.2,0.8,418ms
Diagonal,0.9984865,0.69091797,1.4473498,0.4473498,1.4473498,30.908203,3.235387,0.03235387,3.2030332,0.2,0.8,427ms
Diagonal,1.0000628,0.6945801,1.4397188,0.43971884,1.4397188,30.541992,3.2741807,0.032741807,3.2414389,0.2,0.8,422ms
Diagonal,0.995752,0.68237305,1.465474,0.465474,1.465474,31.762695,3.1483474,0.031483475,3.116864,0.2,0.8,401ms
Diagonal,1.0048792,0.70336914,1.4217286,0.4217286,1.4217286,29.663086,3.3711934,0.033711933,3.3374815,0.2,0.8,435ms
Diagonal,0.9950173,0.6789551,1.4728515,0.4728515,1.4728515,32.104492,3.1148288,0.031148288,3.0836806,0.2,0.8,447ms
Diagonal,0.9966161,0.6855469,1.4586895,0.45868945,1.4586895,31.445312,3.1801243,0.031801242,3.148323,0.2,0.8,435ms
Diagonal,0.99757195,0.68847656,1.4524822,0.45248222,1.4524822,31.152344,3.2100313,0.032100312,3.177931,0.2,0.8,398ms
Diagonal,0.9974021,0.6879883,1.4535131,0.45351315,1.4535131,31.201172,3.2050078,0.032050077,3.1729577,0.2,0.8,409ms
Diagonal,1.0048792,0.70336914,1.4217286,0.4217286,1.4217286,29.663086,3.3711934,0.033711933,3.3374815,0.2,0.8,405ms
Diagonal,1.011623,0.7126465,1.4032203,0.4032203,1.4032203,28.735352,3.4800339,0.03480034,3.4452336,0.2,0.8,458ms
Diagonal,1.0076791,0.70751953,1.4133885,0.4133885,1.4133885,29.248047,3.4190316,0.034190316,3.3848412,0.2,0.8,421ms
Diagonal,1.0132704,0.7145996,1.3993851,0.3993851,1.3993851,28.54004,3.5038495,0.035038494,3.468811,0.2,0.8,431ms
Diagonal,1.0122312,0.7133789,1.4017797,0.40177965,1.4017797,28.66211,3.4889266,0.034889266,3.4540374,0.2,0.8,451ms
Diagonal,1.0020205,0.6984863,1.4316672,0.4316672,1.4316672,30.151367,3.3165991,0.03316599,3.2834332,0.2,0.8,419ms
