Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Diagonal,0.9131199,0.36328125,2.7526882,0.75268817,2.7526882,63.671875,1.5705521,0.015705522,1.5548466,0.2,0.8,539ms
Diagonal,0.90499294,0.3647461,2.7416332,0.7416332,2.7416332,63.52539,1.5741737,0.015741738,1.558432,0.2,0.8,542ms
Diagonal,0.7111243,0.40429688,2.47343,0.47342992,2.47343,59.570312,1.6786885,0.016786885,1.6619016,0.2,0.8,547ms
Diagonal,0.7974496,0.38549805,2.5940468,0.59404683,2.5940468,61.450195,1.6273341,0.016273342,1.6110607,0.2,0.8,555ms
Diagonal,0.74803436,0.3959961,2.5252774,0.5252774,2.5252774,60.40039,1.6556184,0.016556185,1.6390623,0.2,0.8,540ms
Diagonal,0.81423175,0.38208008,2.6172523,0.61725235,2.6172523,61.791992,1.6183326,0.016183326,1.6021492,0.2,0.8,541ms
Diagonal,0.77292305,0.390625,2.56,0.55999994,2.56,60.9375,1.6410257,0.016410256,1.6246154,0.2,0.8,570ms
Diagonal,0.8615972,0.37280273,2.6823838,0.6823838,2.6823838,62.719727,1.5943947,0.015943946,1.5784507,0.2,0.8,535ms
Diagonal,0.6493479,0.41918945,2.3855562,0.38555622,2.3855562,58.081055,1.7217318,0.017217318,1.7045145,0.2,0.8,523ms
Diagonal,0.7491482,0.39575195,2.5268352,0.5268352,2.5268352,60.424805,1.6549495,0.016549494,1.6384001,0.2,0.8,526ms
Diagonal,0.6660135,0.41503906,2.4094117,0.40941167,2.4094117,58.496094,1.7095158,0.017095158,1.6924206,0.2,0.8,560ms
Diagonal,1.0959013,0.3334961,2.9985359,0.9985359,2.9985359,66.65039,1.5003663,0.015003663,1.4853626,0.2,0.8,537ms
Diagonal,0.90904707,0.36401367,2.7471495,0.74714947,2.7471495,63.598633,1.5723609,0.015723608,1.5566373,0.2,0.8,531ms
Diagonal,0.815444,0.38183594,2.6189258,0.6189258,2.6189258,61.816406,1.6176935,0.016176935,1.6015166,0.2,0.8,532ms
Diagonal,0.67400074,0.41308594,2.4208038,0.4208038,2.4208038,58.691406,1.7038269,0.017038269,1.6867887,0.2,0.8,537ms
Diagonal,0.8680335,0.37158203,2.6911957,0.6911957,2.6911957,62.841797,1.5912976,0.015912976,1.5753846,0.2,0.8,546ms
Diagonal,0.8450879,0.37597656,2.6597402,0.6597402,2.6597402,62.402344,1.6025039,0.016025038,1.5864788,0.2,0.8,529ms
Diagonal,0.8276662,0.37939453,2.6357787,0.63577867,2.6357787,62.060547,1.6113297,0.016113296,1.5952164,0.2,0.8,548ms
Diagonal,0.7100664,0.40454102,2.4719372,0.47193718,2.4719372,59.5459,1.6793768,0.016793769,1.6625831,0.2,0.8,540ms
Diagonal,0.79271865,0.3864746,2.587492,0.587492,2.587492,61.35254,1.6299244,0.016299244,1.6136252,0.2,0.8,553ms
Diagonal,0.96061265,0.35498047,2.8170564,0.8170564,2.8170564,64.50195,1.5503407,0.0155034065,1.5348372,0.2,0.8,525ms
Diagonal,0.87451875,0.37036133,2.7000659,0.70006585,2.7000659,62.963867,1.5882125,0.015882125,1.5723304,0.2,0.8,540ms
Diagonal,0.784507,0.3881836,2.5761006,0.5761006,2.5761006,61.18164,1.6344773,0.016344773,1.6181325,0.2,0.8,524ms
Diagonal,0.77985275,0.38916016,2.569636,0.5696361,2.569636,61.083984,1.6370903,0.016370904,1.6207194,0.2,0.8,566ms
Diagonal,0.6551826,0.4177246,2.3939216,0.3939216,2.3939216,58.22754,1.7174004,0.017174004,1.7002264,0.2,0.8,565ms
Diagonal,0.6542066,0.41796875,2.3925233,0.3925233,2.3925233,58.203125,1.7181208,0.017181208,1.7009397,0.2,0.8,544ms
Diagonal,0.8313687,0.3786621,2.6408768,0.64087677,2.6408768,62.13379,1.6094303,0.016094303,1.593336,0.2,0.8,552ms
Diagonal,0.87974256,0.36938477,2.7072043,0.70720434,2.7072043,63.061523,1.585753,0.01585753,1.5698954,0.2,0.8,526ms
Diagonal,0.8628807,0.3725586,2.6841416,0.68414164,2.6841416,62.74414,1.5937743,0.015937744,1.5778366,0.2,0.8,541ms
Diagonal,0.66700673,0.41479492,2.4108298,0.41082978,2.4108298,58.520508,1.7088027,0.017088026,1.6917146,0.2,0.8,530ms
Diagonal,0.815444,0.38183594,2.6189258,0.6189258,2.6189258,61.816406,1.6176935,0.016176935,1.6015166,0.2,0.8,551ms
Diagonal,1.0460823,0.34106445,2.931997,0.93199706,2.931997,65.893555,1.5175991,0.015175991,1.5024232,0.2,0.8,542ms
Diagonal,0.6871811,0.4099121,2.4395473,0.4395473,2.4395473,59.00879,1.6946628,0.016946629,1.6777161,0.2,0.8,556ms
Diagonal,0.74581164,0.39648438,2.5221674,0.52216744,2.5221674,60.351562,1.656958,0.016569579,1.6403884,0.2,0.8,533ms
Diagonal,0.72934836,0.40014648,2.4990847,0.4990847,2.4990847,59.98535,1.6670737,0.016670737,1.650403,0.2,0.8,554ms
Diagonal,0.5576033,0.4440918,2.2517867,0.2517867,2.2517867,55.59082,1.7988582,0.017988581,1.7808696,0.2,0.8,525ms
Diagonal,0.7903638,0.3869629,2.584227,0.5842271,2.584227,61.30371,1.6312226,0.016312227,1.6149104,0.2,0.8,563ms
Diagonal,0.93655574,0.35913086,2.7845004,0.78450036,2.7845004,64.086914,1.5603809,0.01560381,1.5447772,0.2,0.8,515ms
Diagonal,0.6923176,0.4086914,2.4468338,0.44683385,2.4468338,59.13086,1.6911644,0.016911643,1.6742527,0.2,0.8,534ms
Diagonal,0.8823662,0.36889648,2.7107875,0.71078753,2.7107875,63.11035,1.5845261,0.015845262,1.5686808,0.2,0.8,521ms
Diagonal,0.78217643,0.38867188,2.5728643,0.5728643,2.5728643,61.132812,1.6357827,0.016357828,1.6194249,0.2,0.8,552ms
Diagonal,0.6943828,0.40820312,2.4497607,0.44976068,2.4497607,59.179688,1.689769,0.01689769,1.6728714,0.2,0.8,535ms
Diagonal,0.9009574,0.36547852,2.736139,0.73613906,2.736139,63.45215,1.5759908,0.015759908,1.5602309,0.2,0.8,523ms
Diagonal,0.85520923,0.37402344,2.6736293,0.6736293,2.6736293,62.597656,1.5975039,0.01597504,1.5815289,0.2,0.8,552ms
Diagonal,0.6974921,0.4074707,2.4541643,0.45416427,2.4541643,59.25293,1.6876802,0.016876802,1.6708034,0.2,0.8,535ms
Diagonal,0.7740737,0.39038086,2.561601,0.5616009,2.561601,60.961914,1.6403685,0.016403684,1.6239648,0.2,0.8,529ms
Diagonal,0.78217643,0.38867188,2.5728643,0.5728643,2.5728643,61.132812,1.6357827,0.016357828,1.6194249,0.2,0.8,529ms
Diagonal,0.7581184,0.39379883,2.5393677,0.5393677,2.5393677,60.620117,1.6496174,0.016496174,1.6331213,0.2,0.8,522ms
Diagonal,0.98678434,0.35058594,2.8523676,0.85236764,2.8523676,64.94141,1.5398496,0.015398496,1.5244511,0.2,0.8,540ms
Diagonal,0.6902586,0.4091797,2.4439142,0.44391418,2.4439142,59.08203,1.692562,0.01692562,1.6756364,0.2,0.8,527ms
Diagonal,0.65031683,0.4189453,2.3869464,0.38694644,2.3869464,58.10547,1.7210084,0.017210085,1.7037983,0.2,0.8,536ms
Diagonal,0.9131199,0.36328125,2.7526882,0.75268817,2.7526882,63.671875,1.5705521,0.015705522,1.5548466,0.2,0.8,561ms
Diagonal,1.03362,0.34301758,2.9153025,0.9153025,2.9153025,65.69824,1.5221107,0.015221108,1.5068896,0.2,0.8,590ms
Diagonal,0.6770202,0.41235352,2.4251037,0.42510366,2.4251037,58.76465,1.7017033,0.017017033,1.6846863,0.2,0.8,525ms
Diagonal,0.75474215,0.39453125,2.5346534,0.5346534,2.5346534,60.546875,1.6516129,0.016516129,1.6350968,0.2,0.8,523ms
Diagonal,0.8264357,0.37963867,2.6340835,0.6340835,2.6340835,62.036133,1.6119637,0.016119638,1.5958441,0.2,0.8,538ms
Diagonal,0.64260495,0.42089844,2.37587,0.37587,2.37587,57.910156,1.7268128,0.017268129,1.7095447,0.2,0.8,528ms
Diagonal,0.8350879,0.3779297,2.645995,0.6459949,2.645995,62.20703,1.6075354,0.016075354,1.59146,0.2,0.8,546ms
Diagonal,0.64644957,0.41992188,2.3813953,0.38139534,2.3813953,58.007812,1.7239057,0.017239057,1.7066666,0.2,0.8,539ms
Diagonal,0.76264334,0.39282227,2.5456805,0.5456805,2.5456805,60.717773,1.6469642,0.016469643,1.6304946,0.2,0.8,558ms
Diagonal,0.90634227,0.36450195,2.7434695,0.7434695,2.7434695,63.549805,1.5735689,0.01573569,1.5578332,0.2,0.8,531ms
Diagonal,0.8400729,0.37695312,2.6528497,0.6528497,2.6528497,62.304688,1.6050156,0.016050156,1.5889655,0.2,0.8,534ms
Diagonal,0.76264334,0.39282227,2.5456805,0.5456805,2.5456805,60.717773,1.6469642,0.016469643,1.6304946,0.2,0.8,558ms
Diagonal,0.7974496,0.38549805,2.5940468,0.59404683,2.5940468,61.450195,1.6273341,0.016273342,1.6110607,0.2,0.8,533ms
Diagonal,0.8823662,0.36889648,2.7107875,0.71078753,2.7107875,63.11035,1.5845261,0.015845262,1.5686808,0.2,0.8,530ms
Diagonal,0.71537155,0.4033203,2.479419,0.479419,2.479419,59.66797,1.6759411,0.01675941,1.6591817,0.2,0.8,577ms
Diagonal,0.70585036,0.40551758,2.4659843,0.46598434,2.4659843,59.448242,1.6821356,0.016821355,1.6653142,0.2,0.8,556ms
Diagonal,0.7185732,0.4025879,2.4839296,0.48392963,2.4839296,59.74121,1.6738864,0.016738864,1.6571475,0.2,0.8,538ms
Diagonal,0.651287,0.41870117,2.388338,0.3883381,2.388338,58.129883,1.7202855,0.017202856,1.7030827,0.2,0.8,541ms
Diagonal,0.74581164,0.39648438,2.5221674,0.52216744,2.5221674,60.351562,1.656958,0.016569579,1.6403884,0.2,0.8,565ms
Diagonal,0.75362015,0.3947754,2.533086,0.53308606,2.533086,60.52246,1.6522791,0.016522791,1.6357564,0.2,0.8,555ms
Diagonal,0.91040266,0.36376953,2.7489934,0.7489934,2.7489934,63.623047,1.5717574,0.015717575,1.5560398,0.2,0.8,550ms
Diagonal,0.84132373,0.37670898,2.654569,0.6545689,2.654569,62.3291,1.604387,0.01604387,1.5883431,0.2,0.8,536ms
Diagonal,0.7833409,0.38842773,2.5744815,0.5744815,2.5744815,61.157227,1.6351297,0.016351297,1.6187783,0.2,0.8,544ms
Diagonal,0.815444,0.38183594,2.6189258,0.6189258,2.6189258,61.816406,1.6176935,0.016176935,1.6015166,0.2,0.8,528ms
Diagonal,0.7447027,0.39672852,2.5206153,0.52061534,2.5206153,60.32715,1.6576285,0.016576285,1.6410522,0.2,0.8,534ms
Diagonal,0.71430725,0.40356445,2.4779189,0.47791886,2.4779189,59.643555,1.676627,0.01676627,1.6598607,0.2,0.8,528ms
Diagonal,0.98090506,0.3515625,2.8444445,0.8444445,2.8444445,64.84375,1.5421686,0.015421687,1.526747,0.2,0.8,538ms
Diagonal,0.8956052,0.36645508,2.7288475,0.7288475,2.7288475,63.354492,1.57842,0.0157842,1.5626359,0.2,0.8,545ms
Diagonal,0.81181276,0.38256836,2.6139119,0.61391187,2.6139119,61.743164,1.6196125,0.016196124,1.6034163,0.2,0.8,573ms
Diagonal,0.8996163,0.36572266,2.7343125,0.73431253,2.7343125,63.427734,1.5765973,0.015765974,1.5608313,0.2,0.8,529ms
Diagonal,0.7175044,0.40283203,2.4824243,0.48242426,2.4824243,59.716797,1.6745707,0.016745707,1.657825,0.2,0.8,544ms
Diagonal,0.9282143,0.3605957,2.7731888,0.7731888,2.7731888,63.94043,1.5639557,0.015639557,1.5483161,0.2,0.8,527ms
Diagonal,0.7069021,0.40527344,2.46747,0.46746993,2.46747,59.472656,1.681445,0.01681445,1.6646305,0.2,0.8,523ms
Diagonal,0.7763803,0.38989258,2.564809,0.5648091,2.564809,61.010742,1.6390556,0.016390556,1.622665,0.2,0.8,539ms
Diagonal,0.7090101,0.40478516,2.4704463,0.47044635,2.4704463,59.521484,1.6800656,0.016800657,1.663265,0.2,0.8,544ms
Diagonal,0.83633137,0.37768555,2.6477053,0.6477053,2.6477053,62.231445,1.6069046,0.016069047,1.5908356,0.2,0.8,537ms
Diagonal,0.98090506,0.3515625,2.8444445,0.8444445,2.8444445,64.84375,1.5421686,0.015421687,1.526747,0.2,0.8,561ms
Diagonal,0.7671951,0.3918457,2.5520248,0.55202484,2.5520248,60.81543,1.6443195,0.016443195,1.6278763,0.2,0.8,556ms
Diagonal,0.74581164,0.39648438,2.5221674,0.52216744,2.5221674,60.351562,1.656958,0.016569579,1.6403884,0.2,0.8,532ms
Diagonal,0.7880158,0.38745117,2.5809703,0.5809703,2.5809703,61.254883,1.632523,0.01632523,1.6161977,0.2,0.8,528ms
Diagonal,0.71537155,0.4033203,2.479419,0.479419,2.479419,59.66797,1.6759411,0.01675941,1.6591817,0.2,0.8,533ms
Diagonal,0.9309863,0.36010742,2.7769492,0.77694917,2.7769492,63.989258,1.5627623,0.015627623,1.5471346,0.2,0.8,552ms
Diagonal,0.808198,0.38330078,2.6089172,0.60891724,2.6089172,61.66992,1.621536,0.01621536,1.6053207,0.2,0.8,537ms
Diagonal,0.81181276,0.38256836,2.6139119,0.61391187,2.6139119,61.743164,1.6196125,0.016196124,1.6034163,0.2,0.8,533ms
